Désignation,Fab,Ref fab,Qté,Pu,Pt
Insert Fileté M3,RUTHEX,sans,8,"0,10 €","0,80 €"
VIS THC M3x6,BRICOVIS,TC HC M3x6ANEF,2,"0,06 €","0,12 €"
VIS STHC M3x10,BRICOVIS,STHC Pointeau M3X10ANEF,2,"0,08 €","0,17 €"
VIS THC M3x6,BRICOVIS,TC HC M3x8ANEF,4,"0,06 €","0,24 €"
XT60 MALE,AMAZON,celui de droite ;-),1,"0,60 €","0,60 €"
MAILLESHORT,MICROMODEL,8x25mm,2,"0,08 €","0,16 €"
FIL NOIr ROUGE,AMAZON,AWG14,2,"0,30 €","0,60 €"
,,,,TOTAL,"2,69 €"
